,source,true,tokenized_source,tokenized_true,source_likelihood,true_likelihood
0,есть у вас оформленый и подписаный мною заказ,есть у вас оформленный и подписанный мною заказ,"['есть', 'у', 'вас', 'оформленый', 'и', 'подписаный', 'мною', 'заказ']","['есть', 'у', 'вас', 'оформленный', 'и', 'подписанный', 'мною', 'заказ']",-104.06791741756442,-117.40618194452499
1,вот в инете откапал такую интеерсную статейку предлагаю вашему внимани,вот в инете откопал такую интересную статейку предлагаю вашему вниманию,"['вот', 'в', 'инете', 'откапал', 'такую', 'интеерсную', 'статейку', 'предлагаю', 'вашему', 'внимани']","['вот', 'в', 'инете', 'откопал', 'такую', 'интересную', 'статейку', 'предлагаю', 'вашему', 'вниманию']",-155.50670645131063,-151.63021804800778
2,я на всю жизнь запомню свое первое купание в зимнем ледяном енисее,я на всю жизнь запомню свое первое купание в зимнем ледяном енисее,"['я', 'на', 'всю', 'жизнь', 'запомню', 'свое', 'первое', 'купание', 'в', 'зимнем', 'ледяном', 'енисее']","['я', 'на', 'всю', 'жизнь', 'запомню', 'свое', 'первое', 'купание', 'в', 'зимнем', 'ледяном', 'енисее']",-128.1085390917553,-128.46237012570822
3,думаем что не ошибемся если скажем что выставка лучшие фотографии россии 2012 станет одним из самых значимых событий в культурной жизни перми и ее жителей,думаем что не ошибемся если скажем что выставка лучшие фотографии россии 2012 станет одним из самых значимых событий в культурной жизни перми и ее жителей,"['думаем', 'что', 'не', 'ошибемся', 'если', 'скажем', 'что', 'выставка', 'лучшие', 'фотографии', 'россии', '2012', 'станет', 'одним', 'из', 'самых', 'значимых', 'событий', 'в', 'культурной', 'жизни', 'перми', 'и', 'ее', 'жителей']","['думаем', 'что', 'не', 'ошибемся', 'если', 'скажем', 'что', 'выставка', 'лучшие', 'фотографии', 'россии', '2012', 'станет', 'одним', 'из', 'самых', 'значимых', 'событий', 'в', 'культурной', 'жизни', 'перми', 'и', 'ее', 'жителей']",-290.0489854049575,-290.20155385038083
4,судьба человека может складываться очень разнообразно в жизни много прекрасных светлых радостных моментов,судьба человека может складываться очень разнообразно в жизни много прекрасных светлых радостных моментов,"['судьба', 'человека', 'может', 'складываться', 'очень', 'разнообразно', 'в', 'жизни', 'много', 'прекрасных', 'светлых', 'радостных', 'моментов']","['судьба', 'человека', 'может', 'складываться', 'очень', 'разнообразно', 'в', 'жизни', 'много', 'прекрасных', 'светлых', 'радостных', 'моментов']",-191.7885387365861,-192.8023097398899
5,а я думаю вот если бы хозяин этой лодки тебе ее подарил и ты бы собрал знакомых и устроил на этой лодке большие катание с размахом,а я думаю вот если бы хозяин этой лодки тебе ее подарил и ты бы собрал знакомых и устроил на этой лодке большие катание с размахом,"['а', 'я', 'думаю', 'вот', 'если', 'бы', 'хозяин', 'этой', 'лодки', 'тебе', 'ее', 'подарил', 'и', 'ты', 'бы', 'собрал', 'знакомых', 'и', 'устроил', 'на', 'этой', 'лодке', 'большие', 'катание', 'с', 'размахом']","['а', 'я', 'думаю', 'вот', 'если', 'бы', 'хозяин', 'этой', 'лодки', 'тебе', 'ее', 'подарил', 'и', 'ты', 'бы', 'собрал', 'знакомых', 'и', 'устроил', 'на', 'этой', 'лодке', 'большие', 'катание', 'с', 'размахом']",-299.57916688294483,-299.80186388916513
6,например парадный портрет николая ii при орденах и регалиях освященный как икона и снабженный 5-рублевой монетой и роскошным текстом снизу,например парадный портрет николая ii при орденах и регалиях освященный как икона и снабженный 5-рублевой монетой и роскошным текстом снизу,"['например', 'парадный', 'портрет', 'николая', 'ii', 'при', 'орденах', 'и', 'регалиях', 'освященный', 'как', 'икона', 'и', 'снабженный', '5-рублевой', 'монетой', 'и', 'роскошным', 'текстом', 'снизу']","['например', 'парадный', 'портрет', 'николая', 'ii', 'при', 'орденах', 'и', 'регалиях', 'освященный', 'как', 'икона', 'и', 'снабженный', '5-рублевой', 'монетой', 'и', 'роскошным', 'текстом', 'снизу']",-341.6431848433822,-342.5059542708083
7,двубортное кашемировое пальто песочного цвета классическог фасона,двубортное кашемировое пальто песочного цвета классического фасона,"['двубортное', 'кашемировое', 'пальто', 'песочного', 'цвета', 'классическог', 'фасона']","['двубортное', 'кашемировое', 'пальто', 'песочного', 'цвета', 'классического', 'фасона']",-97.21509909725792,-94.85755215369029
8,поговорила с директором и он мне обежал позвонить вечером и сказать берет он меня на работу,поговорила с директором и он мне обещал позвонить вечером и сказать берет он меня на работу,"['поговорила', 'с', 'директором', 'и', 'он', 'мне', 'обежал', 'позвонить', 'вечером', 'и', 'сказать', 'берет', 'он', 'меня', 'на', 'работу']","['поговорила', 'с', 'директором', 'и', 'он', 'мне', 'обещал', 'позвонить', 'вечером', 'и', 'сказать', 'берет', 'он', 'меня', 'на', 'работу']",-221.96771773750518,-188.94711580878223
9,схездил птом в ркб оказалось что на нем 3 царапины купил мази и капли,съездил потом в ркб оказалось что на нем 3 царапины купил мази и капли,"['схездил', 'птом', 'в', 'ркб', 'оказалось', 'что', 'на', 'нем', '3', 'царапины', 'купил', 'мази', 'и', 'капли']","['съездил', 'потом', 'в', 'ркб', 'оказалось', 'что', 'на', 'нем', '3', 'царапины', 'купил', 'мази', 'и', 'капли']",-232.36921807363984,-243.0447766814193
