,source,true,tokenized_source,tokenized_true,source_likelihood,true_likelihood
0,есть у вас оформленый и подписаный мною заказ,есть у вас оформленный и подписанный мною заказ,"['есть', 'у', 'вас', 'оформленый', 'и', 'подписаный', 'мною', 'заказ']","['есть', 'у', 'вас', 'оформленный', 'и', 'подписанный', 'мною', 'заказ']",-38.695167541503906,-30.602611541748047
1,вот в инете откапал такую интеерсную статейку предлагаю вашему внимани,вот в инете откопал такую интересную статейку предлагаю вашему вниманию,"['вот', 'в', 'инете', 'откапал', 'такую', 'интеерсную', 'статейку', 'предлагаю', 'вашему', 'внимани']","['вот', 'в', 'инете', 'откопал', 'такую', 'интересную', 'статейку', 'предлагаю', 'вашему', 'вниманию']",-63.04133224487305,-48.60094451904297
2,я на всю жизнь запомню свое первое купание в зимнем ледяном енисее,я на всю жизнь запомню свое первое купание в зимнем ледяном енисее,"['я', 'на', 'всю', 'жизнь', 'запомню', 'свое', 'первое', 'купание', 'в', 'зимнем', 'ледяном', 'енисее']","['я', 'на', 'всю', 'жизнь', 'запомню', 'свое', 'первое', 'купание', 'в', 'зимнем', 'ледяном', 'енисее']",-48.61880874633789,-48.61880874633789
3,думаем что не ошибемся если скажем что выставка лучшие фотографии россии 2012 станет одним из самых значимых событий в культурной жизни перми и ее жителей,думаем что не ошибемся если скажем что выставка лучшие фотографии россии 2012 станет одним из самых значимых событий в культурной жизни перми и ее жителей,"['думаем', 'что', 'не', 'ошибемся', 'если', 'скажем', 'что', 'выставка', 'лучшие', 'фотографии', 'россии', '2012', 'станет', 'одним', 'из', 'самых', 'значимых', 'событий', 'в', 'культурной', 'жизни', 'перми', 'и', 'ее', 'жителей']","['думаем', 'что', 'не', 'ошибемся', 'если', 'скажем', 'что', 'выставка', 'лучшие', 'фотографии', 'россии', '2012', 'станет', 'одним', 'из', 'самых', 'значимых', 'событий', 'в', 'культурной', 'жизни', 'перми', 'и', 'ее', 'жителей']",-72.52955627441406,-72.52955627441406
4,судьба человека может складываться очень разнообразно в жизни много прекрасных светлых радостных моментов,судьба человека может складываться очень разнообразно в жизни много прекрасных светлых радостных моментов,"['судьба', 'человека', 'может', 'складываться', 'очень', 'разнообразно', 'в', 'жизни', 'много', 'прекрасных', 'светлых', 'радостных', 'моментов']","['судьба', 'человека', 'может', 'складываться', 'очень', 'разнообразно', 'в', 'жизни', 'много', 'прекрасных', 'светлых', 'радостных', 'моментов']",-44.09151840209961,-44.09151840209961
5,а я думаю вот если бы хозяин этой лодки тебе ее подарил и ты бы собрал знакомых и устроил на этой лодке большие катание с размахом,а я думаю вот если бы хозяин этой лодки тебе ее подарил и ты бы собрал знакомых и устроил на этой лодке большие катание с размахом,"['а', 'я', 'думаю', 'вот', 'если', 'бы', 'хозяин', 'этой', 'лодки', 'тебе', 'ее', 'подарил', 'и', 'ты', 'бы', 'собрал', 'знакомых', 'и', 'устроил', 'на', 'этой', 'лодке', 'большие', 'катание', 'с', 'размахом']","['а', 'я', 'думаю', 'вот', 'если', 'бы', 'хозяин', 'этой', 'лодки', 'тебе', 'ее', 'подарил', 'и', 'ты', 'бы', 'собрал', 'знакомых', 'и', 'устроил', 'на', 'этой', 'лодке', 'большие', 'катание', 'с', 'размахом']",-88.15821075439453,-88.15821075439453
6,например парадный портрет николая ii при орденах и регалиях освященный как икона и снабженный 5-рублевой монетой и роскошным текстом снизу,например парадный портрет николая ii при орденах и регалиях освященный как икона и снабженный 5-рублевой монетой и роскошным текстом снизу,"['например', 'парадный', 'портрет', 'николая', 'ii', 'при', 'орденах', 'и', 'регалиях', 'освященный', 'как', 'икона', 'и', 'снабженный', '5-рублевой', 'монетой', 'и', 'роскошным', 'текстом', 'снизу']","['например', 'парадный', 'портрет', 'николая', 'ii', 'при', 'орденах', 'и', 'регалиях', 'освященный', 'как', 'икона', 'и', 'снабженный', '5-рублевой', 'монетой', 'и', 'роскошным', 'текстом', 'снизу']",-92.26133728027344,-92.26133728027344
7,двубортное кашемировое пальто песочного цвета классическог фасона,двубортное кашемировое пальто песочного цвета классического фасона,"['двубортное', 'кашемировое', 'пальто', 'песочного', 'цвета', 'классическог', 'фасона']","['двубортное', 'кашемировое', 'пальто', 'песочного', 'цвета', 'классического', 'фасона']",-39.94268035888672,-37.025108337402344
8,поговорила с директором и он мне обежал позвонить вечером и сказать берет он меня на работу,поговорила с директором и он мне обещал позвонить вечером и сказать берет он меня на работу,"['поговорила', 'с', 'директором', 'и', 'он', 'мне', 'обежал', 'позвонить', 'вечером', 'и', 'сказать', 'берет', 'он', 'меня', 'на', 'работу']","['поговорила', 'с', 'директором', 'и', 'он', 'мне', 'обещал', 'позвонить', 'вечером', 'и', 'сказать', 'берет', 'он', 'меня', 'на', 'работу']",-58.81871032714844,-53.39970016479492
9,схездил птом в ркб оказалось что на нем 3 царапины купил мази и капли,съездил потом в ркб оказалось что на нем 3 царапины купил мази и капли,"['схездил', 'птом', 'в', 'ркб', 'оказалось', 'что', 'на', 'нем', '3', 'царапины', 'купил', 'мази', 'и', 'капли']","['съездил', 'потом', 'в', 'ркб', 'оказалось', 'что', 'на', 'нем', '3', 'царапины', 'купил', 'мази', 'и', 'капли']",-67.5901107788086,-61.503841400146484
