,source,true,tokenized_source,tokenized_true,scores_true,scores_source
0,есть у вас оформленый и подписаный мною заказ,есть у вас оформленный и подписанный мною заказ,"['есть', 'у', 'вас', 'оформленый', 'и', 'подписаный', 'мною', 'заказ']","['есть', 'у', 'вас', 'оформленный', 'и', 'подписанный', 'мною', 'заказ']",-91.87329209594014,-112.51857947447505
1,вот в инете откапал такую интеерсную статейку предлагаю вашему внимани,вот в инете откопал такую интересную статейку предлагаю вашему вниманию,"['вот', 'в', 'инете', 'откапал', 'такую', 'интеерсную', 'статейку', 'предлагаю', 'вашему', 'внимани']","['вот', 'в', 'инете', 'откопал', 'такую', 'интересную', 'статейку', 'предлагаю', 'вашему', 'вниманию']",-108.71327490763761,-161.21531667479542
2,я на всю жизнь запомню свое первое купание в зимнем ледяном енисее,я на всю жизнь запомню свое первое купание в зимнем ледяном енисее,"['я', 'на', 'всю', 'жизнь', 'запомню', 'свое', 'первое', 'купание', 'в', 'зимнем', 'ледяном', 'енисее']","['я', 'на', 'всю', 'жизнь', 'запомню', 'свое', 'первое', 'купание', 'в', 'зимнем', 'ледяном', 'енисее']",-76.31258243748249,-81.6083295930811
3,думаем что не ошибемся если скажем что выставка лучшие фотографии россии 2012 станет одним из самых значимых событий в культурной жизни перми и ее жителей,думаем что не ошибемся если скажем что выставка лучшие фотографии россии 2012 станет одним из самых значимых событий в культурной жизни перми и ее жителей,"['думаем', 'что', 'не', 'ошибемся', 'если', 'скажем', 'что', 'выставка', 'лучшие', 'фотографии', 'россии', '2012', 'станет', 'одним', 'из', 'самых', 'значимых', 'событий', 'в', 'культурной', 'жизни', 'перми', 'и', 'ее', 'жителей']","['думаем', 'что', 'не', 'ошибемся', 'если', 'скажем', 'что', 'выставка', 'лучшие', 'фотографии', 'россии', '2012', 'станет', 'одним', 'из', 'самых', 'значимых', 'событий', 'в', 'культурной', 'жизни', 'перми', 'и', 'ее', 'жителей']",-196.3232288315304,-204.435997869571
4,судьба человека может складываться очень разнообразно в жизни много прекрасных светлых радостных моментов,судьба человека может складываться очень разнообразно в жизни много прекрасных светлых радостных моментов,"['судьба', 'человека', 'может', 'складываться', 'очень', 'разнообразно', 'в', 'жизни', 'много', 'прекрасных', 'светлых', 'радостных', 'моментов']","['судьба', 'человека', 'может', 'складываться', 'очень', 'разнообразно', 'в', 'жизни', 'много', 'прекрасных', 'светлых', 'радостных', 'моментов']",-122.36727820753224,-141.8672835139624
5,а я думаю вот если бы хозяин этой лодки тебе ее подарил и ты бы собрал знакомых и устроил на этой лодке большие катание с размахом,а я думаю вот если бы хозяин этой лодки тебе ее подарил и ты бы собрал знакомых и устроил на этой лодке большие катание с размахом,"['а', 'я', 'думаю', 'вот', 'если', 'бы', 'хозяин', 'этой', 'лодки', 'тебе', 'ее', 'подарил', 'и', 'ты', 'бы', 'собрал', 'знакомых', 'и', 'устроил', 'на', 'этой', 'лодке', 'большие', 'катание', 'с', 'размахом']","['а', 'я', 'думаю', 'вот', 'если', 'бы', 'хозяин', 'этой', 'лодки', 'тебе', 'ее', 'подарил', 'и', 'ты', 'бы', 'собрал', 'знакомых', 'и', 'устроил', 'на', 'этой', 'лодке', 'большие', 'катание', 'с', 'размахом']",-168.57607196294532,-183.068505214573
6,например парадный портрет николая ii при орденах и регалиях освященный как икона и снабженный 5-рублевой монетой и роскошным текстом снизу,например парадный портрет николая ii при орденах и регалиях освященный как икона и снабженный 5-рублевой монетой и роскошным текстом снизу,"['например', 'парадный', 'портрет', 'николая', 'ii', 'при', 'орденах', 'и', 'регалиях', 'освященный', 'как', 'икона', 'и', 'снабженный', '5-рублевой', 'монетой', 'и', 'роскошным', 'текстом', 'снизу']","['например', 'парадный', 'портрет', 'николая', 'ii', 'при', 'орденах', 'и', 'регалиях', 'освященный', 'как', 'икона', 'и', 'снабженный', '5-рублевой', 'монетой', 'и', 'роскошным', 'текстом', 'снизу']",-235.65980296641084,-254.27428826587425
7,двубортное кашемировое пальто песочного цвета классическог фасона,двубортное кашемировое пальто песочного цвета классического фасона,"['двубортное', 'кашемировое', 'пальто', 'песочного', 'цвета', 'классическог', 'фасона']","['двубортное', 'кашемировое', 'пальто', 'песочного', 'цвета', 'классического', 'фасона']",-90.24627317935791,-109.83479176231452
8,поговорила с директором и он мне обежал позвонить вечером и сказать берет он меня на работу,поговорила с директором и он мне обещал позвонить вечером и сказать берет он меня на работу,"['поговорила', 'с', 'директором', 'и', 'он', 'мне', 'обежал', 'позвонить', 'вечером', 'и', 'сказать', 'берет', 'он', 'меня', 'на', 'работу']","['поговорила', 'с', 'директором', 'и', 'он', 'мне', 'обещал', 'позвонить', 'вечером', 'и', 'сказать', 'берет', 'он', 'меня', 'на', 'работу']",-102.35382317665494,-137.86822177049658
9,схездил птом в ркб оказалось что на нем 3 царапины купил мази и капли,съездил потом в ркб оказалось что на нем 3 царапины купил мази и капли,"['схездил', 'птом', 'в', 'ркб', 'оказалось', 'что', 'на', 'нем', '3', 'царапины', 'купил', 'мази', 'и', 'капли']","['съездил', 'потом', 'в', 'ркб', 'оказалось', 'что', 'на', 'нем', '3', 'царапины', 'купил', 'мази', 'и', 'капли']",-167.99028591838743,-183.7177648953657
10,но даже когда мы приблизились к нижнему уровню замка я поверить не могла что он такой огромный как показывалось на карте,но даже когда мы приблизились к нижнему уровню замка я поверить не могла что он такой огромный как показывалось на карте,"['но', 'даже', 'когда', 'мы', 'приблизились', 'к', 'нижнему', 'уровню', 'замка', 'я', 'поверить', 'не', 'могла', 'что', 'он', 'такой', 'огромный', 'как', 'показывалось', 'на', 'карте']","['но', 'даже', 'когда', 'мы', 'приблизились', 'к', 'нижнему', 'уровню', 'замка', 'я', 'поверить', 'не', 'могла', 'что', 'он', 'такой', 'огромный', 'как', 'показывалось', 'на', 'карте']",-161.85038306141246,-161.0510555798309
11,давно стоит понять что в этой жизни никто не зделает так как лутче тебе,давно стоит понять что в этой жизни никто не сделает так как лучше тебе,"['давно', 'стоит', 'понять', 'что', 'в', 'этой', 'жизни', 'никто', 'не', 'зделает', 'так', 'как', 'лутче', 'тебе']","['давно', 'стоит', 'понять', 'что', 'в', 'этой', 'жизни', 'никто', 'не', 'сделает', 'так', 'как', 'лучше', 'тебе']",-116.34229500528157,-144.1192386288849
12,а вообще конечно не представляю как все писят лет все забавляются над дядькой,а вообще конечно не представляю как все пятьдесят лет все забавляются над дядькой,"['а', 'вообще', 'конечно', 'не', 'представляю', 'как', 'все', 'писят', 'лет', 'все', 'забавляются', 'над', 'дядькой']","['а', 'вообще', 'конечно', 'не', 'представляю', 'как', 'все', 'пятьдесят', 'лет', 'все', 'забавляются', 'над', 'дядькой']",-135.22127679598026,-158.53637182656013
13,отработав под палящим магдалиновским солнцем народ ринулся к воде к самой чистой в,отработав под палящим магдалиновским солнцем народ ринулся к воде к самой чистой в,"['отработав', 'под', 'палящим', 'магдалиновским', 'солнцем', 'народ', 'ринулся', 'к', 'воде', 'к', 'самой', 'чистой', 'в']","['отработав', 'под', 'палящим', 'магдалиновским', 'солнцем', 'народ', 'ринулся', 'к', 'воде', 'к', 'самой', 'чистой', 'в']",-132.95742977335223,-130.63695663106836
14,акцент в последнем предложении правда не совсем понятен,акцент в последнем предложении правда не совсем понятен,"['акцент', 'в', 'последнем', 'предложении', 'правда', 'не', 'совсем', 'понятен']","['акцент', 'в', 'последнем', 'предложении', 'правда', 'не', 'совсем', 'понятен']",-97.78439538317429,-96.59353058892012
15,в детстве я был толстым кучерявым и чрезвычайно прожорливым блондином,в детстве я был толстым кучерявым и чрезвычайно прожорливым блондином,"['в', 'детстве', 'я', 'был', 'толстым', 'кучерявым', 'и', 'чрезвычайно', 'прожорливым', 'блондином']","['в', 'детстве', 'я', 'был', 'толстым', 'кучерявым', 'и', 'чрезвычайно', 'прожорливым', 'блондином']",-113.87146516894465,-113.88210498252859
16,он сейчас в отъезде но почту проверять должен переодически,он сейчас в отъезде но почту проверять должен периодически,"['он', 'сейчас', 'в', 'отъезде', 'но', 'почту', 'проверять', 'должен', 'переодически']","['он', 'сейчас', 'в', 'отъезде', 'но', 'почту', 'проверять', 'должен', 'периодически']",-123.57371291450794,-131.10843196104804
17,колодцы практически везде оборудованы вот такими колесами наверное традиция,колодцы практически везде оборудованы вот такими колесами наверное традиция,"['колодцы', 'практически', 'везде', 'оборудованы', 'вот', 'такими', 'колесами', 'наверное', 'традиция']","['колодцы', 'практически', 'везде', 'оборудованы', 'вот', 'такими', 'колесами', 'наверное', 'традиция']",-151.52369184876346,-152.15535903478082
