,source,true,tokenized_source,tokenized_true,source_likelihood,true_likelihood
0,есть у вас оформленый и подписаный мною заказ,есть у вас оформленный и подписанный мною заказ,"['есть', 'у', 'вас', 'оформленый', 'и', 'подписаный', 'мною', 'заказ']","['есть', 'у', 'вас', 'оформленный', 'и', 'подписанный', 'мною', 'заказ']",-76.37312684575683,-74.25197026427867
1,вот в инете откапал такую интеерсную статейку предлагаю вашему внимани,вот в инете откопал такую интересную статейку предлагаю вашему вниманию,"['вот', 'в', 'инете', 'откапал', 'такую', 'интеерсную', 'статейку', 'предлагаю', 'вашему', 'внимани']","['вот', 'в', 'инете', 'откопал', 'такую', 'интересную', 'статейку', 'предлагаю', 'вашему', 'вниманию']",-125.81676799309159,-111.8832051917741
2,я на всю жизнь запомню свое первое купание в зимнем ледяном енисее,я на всю жизнь запомню свое первое купание в зимнем ледяном енисее,"['я', 'на', 'всю', 'жизнь', 'запомню', 'свое', 'первое', 'купание', 'в', 'зимнем', 'ледяном', 'енисее']","['я', 'на', 'всю', 'жизнь', 'запомню', 'свое', 'первое', 'купание', 'в', 'зимнем', 'ледяном', 'енисее']",-75.38214545251485,-75.95876452736334
3,думаем что не ошибемся если скажем что выставка лучшие фотографии россии 2012 станет одним из самых значимых событий в культурной жизни перми и ее жителей,думаем что не ошибемся если скажем что выставка лучшие фотографии россии 2012 станет одним из самых значимых событий в культурной жизни перми и ее жителей,"['думаем', 'что', 'не', 'ошибемся', 'если', 'скажем', 'что', 'выставка', 'лучшие', 'фотографии', 'россии', '2012', 'станет', 'одним', 'из', 'самых', 'значимых', 'событий', 'в', 'культурной', 'жизни', 'перми', 'и', 'ее', 'жителей']","['думаем', 'что', 'не', 'ошибемся', 'если', 'скажем', 'что', 'выставка', 'лучшие', 'фотографии', 'россии', '2012', 'станет', 'одним', 'из', 'самых', 'значимых', 'событий', 'в', 'культурной', 'жизни', 'перми', 'и', 'ее', 'жителей']",-200.97189438882555,-201.41357143419273
4,судьба человека может складываться очень разнообразно в жизни много прекрасных светлых радостных моментов,судьба человека может складываться очень разнообразно в жизни много прекрасных светлых радостных моментов,"['судьба', 'человека', 'может', 'складываться', 'очень', 'разнообразно', 'в', 'жизни', 'много', 'прекрасных', 'светлых', 'радостных', 'моментов']","['судьба', 'человека', 'может', 'складываться', 'очень', 'разнообразно', 'в', 'жизни', 'много', 'прекрасных', 'светлых', 'радостных', 'моментов']",-123.36788584023815,-124.43885731933743
5,а я думаю вот если бы хозяин этой лодки тебе ее подарил и ты бы собрал знакомых и устроил на этой лодке большие катание с размахом,а я думаю вот если бы хозяин этой лодки тебе ее подарил и ты бы собрал знакомых и устроил на этой лодке большие катание с размахом,"['а', 'я', 'думаю', 'вот', 'если', 'бы', 'хозяин', 'этой', 'лодки', 'тебе', 'ее', 'подарил', 'и', 'ты', 'бы', 'собрал', 'знакомых', 'и', 'устроил', 'на', 'этой', 'лодке', 'большие', 'катание', 'с', 'размахом']","['а', 'я', 'думаю', 'вот', 'если', 'бы', 'хозяин', 'этой', 'лодки', 'тебе', 'ее', 'подарил', 'и', 'ты', 'бы', 'собрал', 'знакомых', 'и', 'устроил', 'на', 'этой', 'лодке', 'большие', 'катание', 'с', 'размахом']",-163.93926035275413,-164.42203327477716
6,например парадный портрет николая ii при орденах и регалиях освященный как икона и снабженный 5-рублевой монетой и роскошным текстом снизу,например парадный портрет николая ii при орденах и регалиях освященный как икона и снабженный 5-рублевой монетой и роскошным текстом снизу,"['например', 'парадный', 'портрет', 'николая', 'ii', 'при', 'орденах', 'и', 'регалиях', 'освященный', 'как', 'икона', 'и', 'снабженный', '5-рублевой', 'монетой', 'и', 'роскошным', 'текстом', 'снизу']","['например', 'парадный', 'портрет', 'николая', 'ii', 'при', 'орденах', 'и', 'регалиях', 'освященный', 'как', 'икона', 'и', 'снабженный', '5-рублевой', 'монетой', 'и', 'роскошным', 'текстом', 'снизу']",-232.02946027467553,-232.75723984558047
7,двубортное кашемировое пальто песочного цвета классическог фасона,двубортное кашемировое пальто песочного цвета классического фасона,"['двубортное', 'кашемировое', 'пальто', 'песочного', 'цвета', 'классическог', 'фасона']","['двубортное', 'кашемировое', 'пальто', 'песочного', 'цвета', 'классического', 'фасона']",-79.99415026325082,-70.95669482009534
8,поговорила с директором и он мне обежал позвонить вечером и сказать берет он меня на работу,поговорила с директором и он мне обещал позвонить вечером и сказать берет он меня на работу,"['поговорила', 'с', 'директором', 'и', 'он', 'мне', 'обежал', 'позвонить', 'вечером', 'и', 'сказать', 'берет', 'он', 'меня', 'на', 'работу']","['поговорила', 'с', 'директором', 'и', 'он', 'мне', 'обещал', 'позвонить', 'вечером', 'и', 'сказать', 'берет', 'он', 'меня', 'на', 'работу']",-129.99382716067205,-99.67300628595636
9,схездил птом в ркб оказалось что на нем 3 царапины купил мази и капли,съездил потом в ркб оказалось что на нем 3 царапины купил мази и капли,"['схездил', 'птом', 'в', 'ркб', 'оказалось', 'что', 'на', 'нем', '3', 'царапины', 'купил', 'мази', 'и', 'капли']","['съездил', 'потом', 'в', 'ркб', 'оказалось', 'что', 'на', 'нем', '3', 'царапины', 'купил', 'мази', 'и', 'капли']",-158.3455918442599,-159.78233108825327
10,но даже когда мы приблизились к нижнему уровню замка я поверить не могла что он такой огромный как показывалось на карте,но даже когда мы приблизились к нижнему уровню замка я поверить не могла что он такой огромный как показывалось на карте,"['но', 'даже', 'когда', 'мы', 'приблизились', 'к', 'нижнему', 'уровню', 'замка', 'я', 'поверить', 'не', 'могла', 'что', 'он', 'такой', 'огромный', 'как', 'показывалось', 'на', 'карте']","['но', 'даже', 'когда', 'мы', 'приблизились', 'к', 'нижнему', 'уровню', 'замка', 'я', 'поверить', 'не', 'могла', 'что', 'он', 'такой', 'огромный', 'как', 'показывалось', 'на', 'карте']",-147.906367091748,-146.6927881368895
11,давно стоит понять что в этой жизни никто не зделает так как лутче тебе,давно стоит понять что в этой жизни никто не сделает так как лучше тебе,"['давно', 'стоит', 'понять', 'что', 'в', 'этой', 'жизни', 'никто', 'не', 'зделает', 'так', 'как', 'лутче', 'тебе']","['давно', 'стоит', 'понять', 'что', 'в', 'этой', 'жизни', 'никто', 'не', 'сделает', 'так', 'как', 'лучше', 'тебе']",-129.29201231026258,-111.01957201905225
12,а вообще конечно не представляю как все писят лет все забавляются над дядькой,а вообще конечно не представляю как все пятьдесят лет все забавляются над дядькой,"['а', 'вообще', 'конечно', 'не', 'представляю', 'как', 'все', 'писят', 'лет', 'все', 'забавляются', 'над', 'дядькой']","['а', 'вообще', 'конечно', 'не', 'представляю', 'как', 'все', 'пятьдесят', 'лет', 'все', 'забавляются', 'над', 'дядькой']",-147.565383709217,-128.09983639241747
13,отработав под палящим магдалиновским солнцем народ ринулся к воде к самой чистой в,отработав под палящим магдалиновским солнцем народ ринулся к воде к самой чистой в,"['отработав', 'под', 'палящим', 'магдалиновским', 'солнцем', 'народ', 'ринулся', 'к', 'воде', 'к', 'самой', 'чистой', 'в']","['отработав', 'под', 'палящим', 'магдалиновским', 'солнцем', 'народ', 'ринулся', 'к', 'воде', 'к', 'самой', 'чистой', 'в']",-136.0820323600879,-136.59711712398925
