,source,true,tokenized_source,tokenized_true,source_likelihood,true_likelihood
0,есть у вас оформленый и подписаный мною заказ,есть у вас оформленный и подписанный мною заказ,"['есть', 'у', 'вас', 'оформленый', 'и', 'подписаный', 'мною', 'заказ']","['есть', 'у', 'вас', 'оформленный', 'и', 'подписанный', 'мною', 'заказ']",-85.50559204799954,-76.29896328327128
1,вот в инете откапал такую интеерсную статейку предлагаю вашему внимани,вот в инете откопал такую интересную статейку предлагаю вашему вниманию,"['вот', 'в', 'инете', 'откапал', 'такую', 'интеерсную', 'статейку', 'предлагаю', 'вашему', 'внимани']","['вот', 'в', 'инете', 'откопал', 'такую', 'интересную', 'статейку', 'предлагаю', 'вашему', 'вниманию']",-116.28374326631777,-54.1954461405757
2,я на всю жизнь запомню свое первое купание в зимнем ледяном енисее,я на всю жизнь запомню свое первое купание в зимнем ледяном енисее,"['я', 'на', 'всю', 'жизнь', 'запомню', 'свое', 'первое', 'купание', 'в', 'зимнем', 'ледяном', 'енисее']","['я', 'на', 'всю', 'жизнь', 'запомню', 'свое', 'первое', 'купание', 'в', 'зимнем', 'ледяном', 'енисее']",-77.96688297645062,-77.20561578809584
3,думаем что не ошибемся если скажем что выставка лучшие фотографии россии 2012 станет одним из самых значимых событий в культурной жизни перми и ее жителей,думаем что не ошибемся если скажем что выставка лучшие фотографии россии 2012 станет одним из самых значимых событий в культурной жизни перми и ее жителей,"['думаем', 'что', 'не', 'ошибемся', 'если', 'скажем', 'что', 'выставка', 'лучшие', 'фотографии', 'россии', '2012', 'станет', 'одним', 'из', 'самых', 'значимых', 'событий', 'в', 'культурной', 'жизни', 'перми', 'и', 'ее', 'жителей']","['думаем', 'что', 'не', 'ошибемся', 'если', 'скажем', 'что', 'выставка', 'лучшие', 'фотографии', 'россии', '2012', 'станет', 'одним', 'из', 'самых', 'значимых', 'событий', 'в', 'культурной', 'жизни', 'перми', 'и', 'ее', 'жителей']",-149.8420152924042,-151.55062360983695
4,судьба человека может складываться очень разнообразно в жизни много прекрасных светлых радостных моментов,судьба человека может складываться очень разнообразно в жизни много прекрасных светлых радостных моментов,"['судьба', 'человека', 'может', 'складываться', 'очень', 'разнообразно', 'в', 'жизни', 'много', 'прекрасных', 'светлых', 'радостных', 'моментов']","['судьба', 'человека', 'может', 'складываться', 'очень', 'разнообразно', 'в', 'жизни', 'много', 'прекрасных', 'светлых', 'радостных', 'моментов']",-97.95335349965242,-96.41548053535124
5,а я думаю вот если бы хозяин этой лодки тебе ее подарил и ты бы собрал знакомых и устроил на этой лодке большие катание с размахом,а я думаю вот если бы хозяин этой лодки тебе ее подарил и ты бы собрал знакомых и устроил на этой лодке большие катание с размахом,"['а', 'я', 'думаю', 'вот', 'если', 'бы', 'хозяин', 'этой', 'лодки', 'тебе', 'ее', 'подарил', 'и', 'ты', 'бы', 'собрал', 'знакомых', 'и', 'устроил', 'на', 'этой', 'лодке', 'большие', 'катание', 'с', 'размахом']","['а', 'я', 'думаю', 'вот', 'если', 'бы', 'хозяин', 'этой', 'лодки', 'тебе', 'ее', 'подарил', 'и', 'ты', 'бы', 'собрал', 'знакомых', 'и', 'устроил', 'на', 'этой', 'лодке', 'большие', 'катание', 'с', 'размахом']",-142.62325701338884,-141.61430468847993
6,например парадный портрет николая ii при орденах и регалиях освященный как икона и снабженный 5-рублевой монетой и роскошным текстом снизу,например парадный портрет николая ii при орденах и регалиях освященный как икона и снабженный 5-рублевой монетой и роскошным текстом снизу,"['например', 'парадный', 'портрет', 'николая', 'ii', 'при', 'орденах', 'и', 'регалиях', 'освященный', 'как', 'икона', 'и', 'снабженный', '5-рублевой', 'монетой', 'и', 'роскошным', 'текстом', 'снизу']","['например', 'парадный', 'портрет', 'николая', 'ii', 'при', 'орденах', 'и', 'регалиях', 'освященный', 'как', 'икона', 'и', 'снабженный', '5-рублевой', 'монетой', 'и', 'роскошным', 'текстом', 'снизу']",-225.4172098079176,-227.01189201120502
7,двубортное кашемировое пальто песочного цвета классическог фасона,двубортное кашемировое пальто песочного цвета классического фасона,"['двубортное', 'кашемировое', 'пальто', 'песочного', 'цвета', 'классическог', 'фасона']","['двубортное', 'кашемировое', 'пальто', 'песочного', 'цвета', 'классического', 'фасона']",-96.99978420706285,-82.89783439237812
8,поговорила с директором и он мне обежал позвонить вечером и сказать берет он меня на работу,поговорила с директором и он мне обещал позвонить вечером и сказать берет он меня на работу,"['поговорила', 'с', 'директором', 'и', 'он', 'мне', 'обежал', 'позвонить', 'вечером', 'и', 'сказать', 'берет', 'он', 'меня', 'на', 'работу']","['поговорила', 'с', 'директором', 'и', 'он', 'мне', 'обещал', 'позвонить', 'вечером', 'и', 'сказать', 'берет', 'он', 'меня', 'на', 'работу']",-101.90218304959629,-77.19647160479082
9,схездил птом в ркб оказалось что на нем 3 царапины купил мази и капли,съездил потом в ркб оказалось что на нем 3 царапины купил мази и капли,"['схездил', 'птом', 'в', 'ркб', 'оказалось', 'что', 'на', 'нем', '3', 'царапины', 'купил', 'мази', 'и', 'капли']","['съездил', 'потом', 'в', 'ркб', 'оказалось', 'что', 'на', 'нем', '3', 'царапины', 'купил', 'мази', 'и', 'капли']",-146.7552522714986,-138.29849861174395
10,но даже когда мы приблизились к нижнему уровню замка я поверить не могла что он такой огромный как показывалось на карте,но даже когда мы приблизились к нижнему уровню замка я поверить не могла что он такой огромный как показывалось на карте,"['но', 'даже', 'когда', 'мы', 'приблизились', 'к', 'нижнему', 'уровню', 'замка', 'я', 'поверить', 'не', 'могла', 'что', 'он', 'такой', 'огромный', 'как', 'показывалось', 'на', 'карте']","['но', 'даже', 'когда', 'мы', 'приблизились', 'к', 'нижнему', 'уровню', 'замка', 'я', 'поверить', 'не', 'могла', 'что', 'он', 'такой', 'огромный', 'как', 'показывалось', 'на', 'карте']",-121.13070154567215,-122.25410184940255
11,давно стоит понять что в этой жизни никто не зделает так как лутче тебе,давно стоит понять что в этой жизни никто не сделает так как лучше тебе,"['давно', 'стоит', 'понять', 'что', 'в', 'этой', 'жизни', 'никто', 'не', 'зделает', 'так', 'как', 'лутче', 'тебе']","['давно', 'стоит', 'понять', 'что', 'в', 'этой', 'жизни', 'никто', 'не', 'сделает', 'так', 'как', 'лучше', 'тебе']",-90.46304027984128,-67.43068736049091
12,а вообще конечно не представляю как все писят лет все забавляются над дядькой,а вообще конечно не представляю как все пятьдесят лет все забавляются над дядькой,"['а', 'вообще', 'конечно', 'не', 'представляю', 'как', 'все', 'писят', 'лет', 'все', 'забавляются', 'над', 'дядькой']","['а', 'вообще', 'конечно', 'не', 'представляю', 'как', 'все', 'пятьдесят', 'лет', 'все', 'забавляются', 'над', 'дядькой']",-112.09160170252407,-96.66882253348604
13,отработав под палящим магдалиновским солнцем народ ринулся к воде к самой чистой в,отработав под палящим магдалиновским солнцем народ ринулся к воде к самой чистой в,"['отработав', 'под', 'палящим', 'магдалиновским', 'солнцем', 'народ', 'ринулся', 'к', 'воде', 'к', 'самой', 'чистой', 'в']","['отработав', 'под', 'палящим', 'магдалиновским', 'солнцем', 'народ', 'ринулся', 'к', 'воде', 'к', 'самой', 'чистой', 'в']",-120.5734027303963,-118.9256970872035
14,акцент в последнем предложении правда не совсем понятен,акцент в последнем предложении правда не совсем понятен,"['акцент', 'в', 'последнем', 'предложении', 'правда', 'не', 'совсем', 'понятен']","['акцент', 'в', 'последнем', 'предложении', 'правда', 'не', 'совсем', 'понятен']",-66.02676660398264,-63.78056949519832
15,в детстве я был толстым кучерявым и чрезвычайно прожорливым блондином,в детстве я был толстым кучерявым и чрезвычайно прожорливым блондином,"['в', 'детстве', 'я', 'был', 'толстым', 'кучерявым', 'и', 'чрезвычайно', 'прожорливым', 'блондином']","['в', 'детстве', 'я', 'был', 'толстым', 'кучерявым', 'и', 'чрезвычайно', 'прожорливым', 'блондином']",-86.5744057343131,-86.09092445531788
16,он сейчас в отъезде но почту проверять должен переодически,он сейчас в отъезде но почту проверять должен периодически,"['он', 'сейчас', 'в', 'отъезде', 'но', 'почту', 'проверять', 'должен', 'переодически']","['он', 'сейчас', 'в', 'отъезде', 'но', 'почту', 'проверять', 'должен', 'периодически']",-92.8969394047448,-92.92121666279081
17,колодцы практически везде оборудованы вот такими колесами наверное традиция,колодцы практически везде оборудованы вот такими колесами наверное традиция,"['колодцы', 'практически', 'везде', 'оборудованы', 'вот', 'такими', 'колесами', 'наверное', 'традиция']","['колодцы', 'практически', 'везде', 'оборудованы', 'вот', 'такими', 'колесами', 'наверное', 'традиция']",-104.77764005065497,-105.31834634901176
